TIME,CHAN1
0.000175220,5.80e+00
0.000175225,5.80e+00
0.000175230,5.80e+00
0.000175235,5.60e+00
0.000175240,5.60e+00
0.000175245,5.60e+00
0.000175250,5.60e+00
0.000175255,5.40e+00
0.000175260,5.40e+00
0.000175265,5.40e+00
0.000175270,5.40e+00
0.000175275,5.40e+00
0.000175280,5.40e+00
0.000175285,5.40e+00
0.000175290,5.40e+00
0.000175295,5.40e+00
0.000175300,5.40e+00
0.000175305,5.60e+00
0.000175310,5.60e+00
0.000175315,5.60e+00
0.000175320,5.60e+00
0.000175325,5.80e+00
0.000175330,5.80e+00
0.000175335,5.80e+00
0.000175340,5.80e+00
0.000175345,6.00e+00
0.000175350,6.00e+00
0.000175355,5.80e+00
0.000175360,5.80e+00
0.000175365,5.80e+00
0.000175370,5.80e+00
0.000175375,5.60e+00
0.000175380,5.60e+00
0.000175385,5.60e+00
0.000175390,5.60e+00
0.000175395,5.60e+00
0.000175400,5.60e+00
0.000175405,5.40e+00
0.000175410,5.40e+00
0.000175415,5.60e+00
0.000175420,5.40e+00
0.000175425,5.60e+00
0.000175430,5.60e+00
0.000175435,5.40e+00
0.000175440,5.60e+00
0.000175445,5.60e+00
0.000175450,5.60e+00
0.000175455,5.60e+00
0.000175460,5.60e+00
0.000175465,5.60e+00
0.000175470,5.80e+00
0.000175475,5.60e+00
0.000175480,5.80e+00
0.000175485,5.80e+00
0.000175490,5.80e+00
0.000175495,5.80e+00
0.000175500,5.80e+00
0.000175505,5.60e+00
0.000175510,5.80e+00
0.000175515,5.60e+00
0.000175520,5.60e+00
0.000175525,5.60e+00
0.000175530,5.60e+00
0.000175535,5.60e+00
0.000175540,5.60e+00
0.000175545,5.40e+00
0.000175550,5.40e+00
0.000175555,5.40e+00
0.000175560,5.40e+00
0.000175565,5.40e+00
0.000175570,5.40e+00
0.000175575,5.40e+00
0.000175580,5.40e+00
0.000175585,5.40e+00
0.000175590,5.60e+00
0.000175595,5.40e+00
0.000175600,5.60e+00
0.000175605,5.60e+00
0.000175610,5.60e+00
0.000175615,5.60e+00
0.000175620,5.60e+00
0.000175625,5.60e+00
0.000175630,5.60e+00
0.000175635,5.60e+00
0.000175640,5.60e+00
0.000175645,5.60e+00
0.000175650,5.60e+00
0.000175655,5.60e+00
0.000175660,5.60e+00
0.000175665,5.60e+00
0.000175670,5.60e+00
0.000175675,5.60e+00
0.000175680,5.60e+00
0.000175685,5.40e+00
0.000175690,5.40e+00
0.000175695,5.40e+00
0.000175700,5.40e+00
0.000175705,5.40e+00
0.000175710,5.40e+00
0.000175715,5.40e+00
0.000175720,5.40e+00
0.000175725,5.40e+00
0.000175730,5.40e+00
0.000175735,5.60e+00
0.000175740,5.40e+00
0.000175745,5.60e+00
0.000175750,5.60e+00
0.000175755,5.60e+00
0.000175760,5.60e+00
0.000175765,5.60e+00
0.000175770,5.60e+00
0.000175775,5.60e+00
0.000175780,5.60e+00
0.000175785,5.60e+00
0.000175790,5.60e+00
0.000175795,5.60e+00
0.000175800,5.60e+00
0.000175805,5.60e+00
0.000175810,5.60e+00
0.000175815,5.60e+00
0.000175820,5.60e+00
0.000175825,5.60e+00
0.000175830,5.60e+00
0.000175835,5.40e+00
0.000175840,5.40e+00
0.000175845,5.60e+00
0.000175850,5.40e+00
0.000175855,5.40e+00
0.000175860,5.40e+00
0.000175865,5.40e+00
0.000175870,5.40e+00
0.000175875,5.60e+00
0.000175880,5.40e+00
0.000175885,5.60e+00
0.000175890,5.60e+00
0.000175895,5.60e+00
0.000175900,5.60e+00
0.000175905,5.60e+00
0.000175910,5.60e+00
0.000175915,5.60e+00
0.000175920,5.60e+00
0.000175925,5.60e+00
0.000175930,5.60e+00
0.000175935,5.60e+00
0.000175940,5.60e+00
0.000175945,5.60e+00
0.000175950,5.60e+00
0.000175955,5.60e+00
0.000175960,5.40e+00
0.000175965,5.60e+00
0.000175970,5.40e+00
0.000175975,5.40e+00
0.000175980,5.40e+00
0.000175985,5.40e+00
0.000175990,5.40e+00
0.000175995,5.40e+00
0.000176000,5.40e+00
0.000176005,5.40e+00
0.000176010,5.40e+00
0.000176015,5.40e+00
0.000176020,5.40e+00
0.000176025,5.40e+00
0.000176030,5.40e+00
0.000176035,5.40e+00
0.000176040,5.40e+00
0.000176045,5.40e+00
0.000176050,5.40e+00
0.000176055,5.60e+00
0.000176060,5.40e+00
0.000176065,5.40e+00
0.000176070,5.60e+00
0.000176075,5.40e+00
0.000176080,5.40e+00
0.000176085,5.60e+00
0.000176090,5.40e+00
0.000176095,5.40e+00
0.000176100,5.40e+00
0.000176105,5.40e+00
0.000176110,5.40e+00
0.000176115,5.40e+00
0.000176120,5.40e+00
0.000176125,5.40e+00
0.000176130,5.40e+00
0.000176135,5.40e+00
0.000176140,5.40e+00
0.000176145,5.40e+00
0.000176150,5.40e+00
0.000176155,5.40e+00
0.000176160,5.40e+00
0.000176165,5.40e+00
0.000176170,5.40e+00
0.000176175,5.40e+00
0.000176180,5.40e+00
0.000176185,5.60e+00
0.000176190,5.60e+00
0.000176195,5.40e+00
0.000176200,5.40e+00
0.000176205,5.60e+00
0.000176210,5.40e+00
0.000176215,5.60e+00
0.000176220,5.40e+00
0.000176225,5.60e+00
0.000176230,5.60e+00
0.000176235,5.40e+00
0.000176240,5.40e+00
0.000176245,5.40e+00
0.000176250,5.40e+00
0.000176255,5.40e+00
0.000176260,5.40e+00
0.000176265,5.40e+00
0.000176270,5.40e+00
0.000176275,5.40e+00
0.000176280,5.40e+00
0.000176285,5.40e+00
